School Code,School,Attendance Year,School Type,School Category,Remoteness Area,Region,Local Government Area,State Electorate,FTE Days Attended,Possible Attendance Days,Attendance Rate
3,Allora P-10 State School,2016,State School,Combined,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,20005.5,21763,91.90%
3,Allora P-10 State School,2017,State School,Combined,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,20345.5,22525,90.30%
3,Allora P-10 State School,2018,State School,Combined,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,20425.5,22242,91.80%
3,Allora P-10 State School,2019,State School,Combined,Inner Regional Australia,Darling Downs South West,Southern Downs (R),Southern Downs,18758,20445,91.70%
430,Alloway State School,2015,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Burnett,5187.5,5514,94.10%
430,Alloway State School,2016,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Burnett,4720.5,5059,93.30%
430,Alloway State School,2017,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Burnett,4344,4674,92.90%
430,Alloway State School,2018,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Burnett,3966.5,4384,90.50%
430,Alloway State School,2019,State School,Primary,Inner Regional Australia,North Coast,Bundaberg (R),Burnett,2750.5,3043,90.40%
870,Aloomba State School,2015,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Mulgrave,8680.5,9035,96.10%
870,Aloomba State School,2016,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Mulgrave,8021,8299,96.70%
870,Aloomba State School,2017,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Mulgrave,7574.5,7837,96.70%
870,Aloomba State School,2018,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Mulgrave,8787,9099,96.60%
870,Aloomba State School,2019,State School,Primary,Outer Regional Australia,Far North Queensland,Cairns (R),Mulgrave,7955,8321,95.60%
517,Alpha State School,2015,State School,Combined,Very Remote Australia,Central Queensland,Barcaldine (R),Gregory,3978,4234,94.00%
517,Alpha State School,2016,State School,Combined,Very Remote Australia,Central Queensland,Barcaldine (R),Gregory,3809,4082,93.30%
517,Alpha State School,2017,State School,Combined,Very Remote Australia,Central Queensland,Barcaldine (R),Gregory,3089.5,3470,89.00%
517,Alpha State School,2018,State School,Combined,Very Remote Australia,Central Queensland,Barcaldine (R),Gregory,3365,3831,87.80%
517,Alpha State School,2019,State School,Combined,Very Remote Australia,Central Queensland,Barcaldine (R),Gregory,3223,3673,87.70%
