Dataset: SEIFA 2016 by Postal Area Code,,,,,,,,,,,
Index Type,,Index of Relative Socio-economic Advantage and Disadvantage,,,,,,,,,
Time,,2016,,,,,,,,,
Measure,,Score,RANK WITHIN AUSTRALIA,,,RANK WITHIN STATE AND TERRITORY,,,Minimum score for SA1s in area,Maximum score for SA1s in area,Usual resident population
,,,  Rank within Australia,  Rank within Australia - Decile,  Rank within Australia - Percentile,  Rank within State or Territory,  Rank within State or Territory - Decile,  Rank within State or Territory - Percentile,,,
Postal Area Code,,,,,,,,,,,
4212,,1053,2126,9,81,381,9,88,891,1179,28053
4213,,1036,1975,8,76,363,9,84,916,1135,29042
4214,,1011,1712,7,66,320,8,74,843,1118,37238
4215,,947,800,4,31,165,4,38,814,1098,50166
4216,,994,1461,6,56,282,7,65,802,1163,37435
4217,,1019,1784,7,68,337,8,78,838,1160,40836
4218,,1032,1935,8,74,358,9,83,895,1132,31864
4220,,1023,1831,7,70,340,8,79,857,1088,31233
4221,,1002,1577,6,60,303,7,70,890,1115,26802
4223,,1011,1710,7,66,319,8,74,836,1116,13892
4224,,991,1410,6,54,272,7,63,923,1050,6588
4225,,965,1038,4,40,206,5,48,881,1024,7754
4226,,1032,1937,8,74,359,9,83,917,1142,32243
4227,,1025,1862,8,71,341,8,79,857,1164,21687
4228,,1059,2169,9,83,385,9,89,1009,1103,5297
4230,,1008,1679,7,64,313,8,72,990,1020,1674
4270,,1029,1896,8,73,347,8,80,976,1075,3950
4271,,1014,1741,7,67,326,8,75,1000,1047,2888
4272,,1039,2000,8,77,367,9,85,999,1085,4612
4275,,1011,1709,7,65,318,8,74,948,1140,3434
4280,,990,1402,6,54,269,7,62,872,1053,16862
4285,,948,813,4,31,168,4,39,787,1063,20247
4287,,925,508,2,20,107,3,25,879,990,824
4300,,991,1411,6,54,273,7,63,650,1207,55669
4301,,916,406,2,16,87,3,21,801,1026,28240
4303,,800,32,1,2,8,1,2,727,895,3946
4304,,898,257,1,10,58,2,14,736,960,17316
4305,,924,501,2,20,106,3,25,659,1083,62549
4306,,1014,1736,7,67,325,8,75,802,1156,35798
4307,,971,1130,5,43,220,6,51,935,1006,1555
4309,,959,957,4,37,192,5,45,897,1014,3006
4310,,952,850,4,33,175,5,41,843,1017,5752
4311,,891,219,1,9,46,2,11,775,988,10599
4312,,912,363,2,14,74,2,18,819,988,2672
4313,,900,270,2,11,61,2,15,838,963,2323
4340,,936,641,3,25,135,4,32,804,1019,5451
4341,,918,434,2,17,93,3,22,797,1013,14592
4342,,912,365,2,14,75,2,18,802,991,2618
4343,,924,496,2,19,104,3,24,790,1024,11359
4344,,958,943,4,36,189,5,44,854,1076,2622
4346,,953,866,4,33,176,5,41,921,1019,873
4347,,940,690,3,27,143,4,33,832,1024,1192
4350,,968,1093,5,42,215,5,50,781,1170,106745
4352,,1038,1992,8,76,365,9,84,825,1124,28460
4353,,969,1114,5,43,218,6,51,968,980,294
4354,,919,442,2,17,96,3,23,872,1050,1199
4355,,912,371,2,15,76,2,18,855,985,2678
4356,,967,1080,5,42,213,5,49,901,1086,5179
4357,,914,394,2,15,84,2,20,843,1001,2582
4358,,987,1366,6,52,262,7,61,924,1068,2264
4359,,991,1419,6,54,275,7,64,935,1036,1243
4360,,989,1393,6,53,267,7,62,988,1017,592
4361,,946,772,3,30,162,4,38,858,1023,2653
4362,,947,788,3,30,164,4,38,857,1013,2462
4363,,980,1250,5,48,242,6,56,935,1030,599
4364,,1014,1742,7,67,327,8,76,1014,1014,217
4365,,877,151,1,6,33,1,8,875,905,508
4370,,915,403,2,16,86,2,20,736,1054,18521
4371,,952,848,4,33,174,5,41,907,990,708
4372,,944,749,3,29,156,4,36,944,944,161
4373,,897,248,1,10,54,2,13,866,958,1032
4374,,954,895,4,35,179,5,42,951,955,355
4375,,922,469,2,18,100,3,23,913,951,211
4376,,903,294,2,12,66,2,16,903,903,319
4377,,919,440,2,17,95,3,22,913,920,538
4378,,945,757,3,29,158,4,37,945,945,511
4380,,920,446,2,17,97,3,23,806,1018,7907
4381,,932,578,3,22,122,3,29,921,986,594
4382,,988,1376,6,53,264,7,61,986,995,517
4383,,790,26,1,1,5,1,2,785,805,619
4384,,973,1161,5,45,227,6,53,973,973,64
4385,,900,276,2,11,62,2,15,836,973,1222
4387,,899,264,2,11,60,2,14,841,1013,1280
4388,,845,76,1,3,15,1,4,710,1013,416
4390,,979,1233,5,47,240,6,56,740,1114,6878
4400,,944,754,3,29,157,4,37,904,1063,1884
4401,,902,284,2,11,63,2,15,781,1016,5719
4402,,854,94,1,4,20,1,5,825,973,297
4403,,992,1430,6,55,277,7,64,960,1086,811
4404,,1016,1757,7,67,330,8,76,992,1086,539
4405,,950,828,4,32,171,4,40,759,1057,14485
4406,,1002,1572,6,60,302,7,70,853,1055,1467
4407,,934,614,3,24,128,3,30,842,1057,526
4408,,934,607,3,24,125,3,29,899,1055,631
4410,,911,358,2,14,73,2,17,906,1045,1122
4411,,925,516,2,20,110,3,26,913,930,287
4412,,1010,1688,7,65,315,8,73,1006,1045,192
4413,,946,770,3,30,161,4,38,853,1045,8024
4415,,928,539,3,21,115,3,27,882,1075,1988
4416,,1017,1764,7,68,333,8,77,980,1020,498
4417,,941,713,3,28,150,4,35,870,1070,669
4418,,1002,1579,7,61,304,7,70,1002,1002,109
4419,,989,1389,6,53,265,7,61,919,1075,944
4420,,971,1133,5,44,221,6,51,889,1059,1178
4421,,808,39,1,2,9,1,3,724,945,2483
4422,,1002,1568,6,60,300,7,69,958,1053,482
4423,,1008,1669,7,64,311,8,72,958,1070,200
4424,,994,1458,6,56,280,7,65,980,999,238
4425,,983,1296,5,50,248,6,58,980,999,219
4426,,974,1169,5,45,228,6,53,955,993,124
4427,,937,661,3,26,138,4,32,836,1044,351
4428,,972,1152,5,44,225,6,52,928,1044,666
4454,,983,1289,5,50,245,6,57,901,1087,706
4455,,991,1420,6,54,276,7,64,879,1085,8486
4461,,1076,2287,9,87,399,10,92,1076,1076,58
4462,,953,870,4,34,177,5,41,944,1039,110
4465,,939,688,3,27,142,4,33,871,1087,1230
4467,,1030,1910,8,73,351,9,81,1028,1087,197
4468,,936,631,3,24,132,4,31,853,1068,255
4470,,935,628,3,24,131,4,31,861,1068,3574
4472,,936,637,3,25,134,4,31,868,1071,1426
4474,,1000,1541,6,59,294,7,68,1000,1000,93
4477,,924,500,2,20,105,3,25,913,1045,468
4478,,951,840,4,32,172,4,40,897,1071,476
4479,,1035,1968,8,75,361,9,83,1035,1035,16
4480,,941,714,3,28,151,4,35,905,1000,751
4481,,965,1041,4,40,208,5,48,965,965,121
4482,,979,1231,5,47,238,6,55,979,979,140
4486,,956,925,4,36,186,5,43,876,1056,703
4487,,960,971,4,37,196,5,46,841,1077,3098
4488,,983,1291,5,50,246,6,57,972,1077,250
4489,,1063,2203,9,84,392,10,91,1063,1063,99
4490,,889,202,1,8,44,2,11,770,1063,1422
4491,,951,841,4,32,173,4,40,951,951,95
4492,,972,1145,5,44,224,6,52,958,974,306
4493,,955,909,4,35,184,5,43,951,958,23
4494,,1031,1926,8,74,356,9,82,1031,1031,151
4496,,983,1298,5,50,250,6,58,983,983,266
4497,,1003,1588,7,61,307,8,71,983,1009,327
4498,,1008,1677,7,64,312,8,72,1005,1031,217
4500,,1013,1732,7,66,324,8,75,842,1177,42401
4501,,936,633,3,25,133,4,31,791,1029,5658
4502,,1001,1557,6,60,298,7,69,882,1117,8674
4503,,979,1232,5,47,239,6,55,824,1134,43651
4504,,1027,1879,8,72,345,8,80,952,1110,18573
4505,,979,1229,5,47,237,6,55,794,1077,20452
4506,,929,558,3,22,116,3,27,811,1074,21810
4507,,925,513,2,20,108,3,25,779,1096,18142
4508,,883,169,1,7,40,1,10,733,1072,19850
4509,,1041,2017,8,77,372,9,86,935,1139,30105
4510,,898,255,1,10,57,2,14,670,1036,48304
4511,,941,715,3,28,152,4,35,866,1050,9095
4512,,1016,1758,7,67,331,8,77,942,1058,3442
4514,,953,879,4,34,178,5,41,867,1013,7404
4515,,916,411,2,16,88,3,21,829,983,4064
4516,,1004,1601,7,61,309,8,72,972,1044,3963
4517,,975,1183,5,45,231,6,54,942,1013,763
4518,,991,1417,6,54,274,7,63,942,1033,5065
4519,,958,947,4,37,190,5,44,802,1037,8426
4520,,1126,2531,10,97,428,10,99,1032,1183,13196
4521,,1063,2201,9,84,391,9,90,978,1103,4730
4550,,955,898,4,35,180,5,42,856,1044,4257
4551,,983,1309,5,50,252,6,58,784,1118,56733
4552,,997,1510,6,58,289,7,67,913,1068,8432
4553,,1017,1770,7,68,335,8,78,941,1084,5891
4554,,1031,1921,8,74,353,9,82,990,1080,1947
4555,,1017,1765,7,68,334,8,77,909,1077,6925
4556,,1030,1909,8,73,350,9,81,831,1152,43340
4557,,1016,1755,7,67,329,8,76,868,1085,18985
4558,,967,1076,5,41,211,5,49,869,1083,19163
4559,,1002,1569,6,60,301,7,70,862,1102,6321
4560,,962,1001,4,39,202,5,47,727,1082,31710
4561,,1002,1564,6,60,299,7,69,874,1077,7212
4562,,1039,2002,8,77,368,9,85,983,1121,8035
4563,,984,1312,5,50,253,6,59,843,1082,8478
4564,,997,1507,6,58,288,7,67,894,1099,10591
4565,,961,988,4,38,200,5,46,856,1086,14500
4566,,1019,1788,7,68,338,8,78,930,1140,8124
4567,,1044,2038,8,78,375,9,87,945,1134,11016
4568,,976,1197,5,46,233,6,54,938,1027,3554
4569,,965,1049,4,40,209,5,49,915,1017,1624
4570,,903,292,2,12,64,2,15,701,1012,42420
4571,,957,930,4,36,187,5,43,946,961,809
4572,,1031,1927,8,74,357,9,83,998,1081,3958
4573,,1028,1892,8,72,346,8,80,889,1203,26275
4574,,943,743,3,29,155,4,36,864,1011,1298
4575,,1013,1731,7,66,323,8,75,863,1136,23777
4580,,850,87,1,4,18,1,5,811,903,4879
4581,,923,478,2,19,102,3,24,901,959,1525
4600,,877,152,1,6,34,1,8,839,984,893
4601,,910,353,2,14,72,2,17,792,1007,1167
4605,,813,45,1,2,11,1,3,566,1007,4843
4606,,888,192,1,8,43,1,10,802,978,2446
4608,,937,648,3,25,137,4,32,905,959,909
4610,,926,523,2,20,111,3,26,759,1085,14840
4611,,948,814,4,31,169,4,39,948,948,118
4612,,940,698,3,27,145,4,34,920,948,257
4613,,870,134,1,6,29,1,7,792,939,861
4614,,845,77,1,3,16,1,4,797,951,1182
4615,,858,99,1,4,22,1,6,760,985,7052
4620,,916,415,2,16,89,3,21,890,959,400
4621,,875,147,1,6,31,1,8,812,966,1783
4625,,913,376,2,15,78,2,18,848,1016,2760
4626,,920,450,2,18,98,3,23,852,1005,2208
4627,,890,207,1,8,45,2,11,774,1049,877
4630,,927,528,3,21,112,3,26,820,1049,2401
4650,,882,163,1,7,38,1,9,706,1031,33891
4655,,914,395,2,16,85,2,20,788,1050,59539
4659,,867,121,1,5,27,1,7,774,953,4794
4660,,897,249,1,10,55,2,13,789,969,7145
4662,,829,59,1,3,13,1,3,778,893,791
4670,,914,388,2,15,80,2,19,670,1080,79606
4671,,861,106,1,5,25,1,6,783,932,6061
4673,,882,164,1,7,39,1,9,878,896,652
4674,,855,95,1,4,21,1,5,843,907,1451
4676,,858,102,1,4,23,1,6,858,858,160
4677,,927,533,3,21,113,3,26,854,1039,3549
4678,,917,419,2,16,91,3,21,838,962,856
4680,,972,1141,5,44,222,6,52,773,1083,54166
4694,,896,246,1,10,52,2,12,896,931,189
4695,,906,308,2,12,69,2,16,879,931,1121
4697,,891,220,1,9,47,2,11,891,891,146
4699,,935,619,3,24,129,3,30,928,935,455
4700,,941,722,3,28,154,4,36,790,1126,17437
4701,,941,704,3,27,146,4,34,782,1106,42762
4702,,950,825,4,32,170,4,40,751,1084,28609
4703,,974,1171,5,45,229,6,53,782,1068,22530
4704,,967,1073,5,41,210,5,49,940,986,132
4705,,990,1406,6,54,270,7,63,974,1042,354
4706,,974,1175,5,45,230,6,53,974,974,105
4707,,871,137,1,6,30,1,7,866,983,245
4709,,1058,2156,9,82,384,9,89,1035,1082,1129
4710,,928,536,3,21,114,3,27,808,1026,4846
4711,,1033,1941,8,74,360,9,83,1022,1042,1851
4712,,921,454,2,18,99,3,23,892,979,278
4713,,636,2,1,1,1,1,1,636,636,962
4714,,793,28,1,2,6,1,2,747,907,2941
4715,,977,1201,5,46,234,6,54,750,1076,7127
4716,,980,1242,5,48,241,6,56,904,1034,887
4717,,962,989,4,38,201,5,47,891,1057,4749
4718,,964,1030,4,40,205,5,48,897,1037,2375
4719,,961,978,4,38,198,5,46,903,1052,1007
4720,,1001,1545,6,59,296,7,69,873,1075,14394
4721,,986,1348,6,52,259,6,60,858,1086,3717
4722,,998,1524,6,58,291,7,67,948,1067,1816
4723,,989,1391,6,53,266,7,62,942,1067,1424
4724,,987,1367,6,52,263,7,61,965,1050,579
4725,,981,1260,5,48,243,6,56,925,1034,1539
4726,,904,297,2,12,67,2,16,860,1034,411
4727,,1012,1722,7,66,321,8,74,1012,1012,259
4728,,983,1294,5,50,247,6,57,982,994,201
4730,,982,1270,5,49,244,6,57,933,1057,3230
4731,,941,706,3,27,147,4,34,941,941,218
4732,,994,1459,6,56,281,7,65,994,994,134
4733,,1040,2011,8,77,371,9,86,890,1040,183
4735,,922,475,2,19,101,3,24,890,1040,967
4736,,965,1040,4,40,207,5,48,965,965,106
4737,,923,481,2,19,103,3,24,798,1007,8137
4738,,947,801,4,31,166,4,39,921,958,1180
4739,,913,375,2,15,77,2,18,913,913,333
4740,,968,1089,5,42,214,5,50,786,1131,80089
4741,,969,1109,5,43,216,5,50,866,1038,7079
4742,,946,785,3,30,163,4,38,908,983,1140
4743,,1013,1727,7,66,322,8,75,961,1035,620
4744,,1011,1708,7,65,317,8,73,920,1074,8735
4745,,956,916,4,35,185,5,43,891,1067,2991
4746,,991,1407,6,54,271,7,63,958,1042,1935
4750,,983,1303,5,50,251,6,58,925,1048,5747
4751,,996,1491,6,57,287,7,66,900,1033,4501
4753,,1003,1587,7,61,306,8,71,942,1056,4282
4754,,955,908,4,35,183,5,43,887,979,2246
4756,,897,247,1,10,53,2,13,858,935,609
4757,,887,189,1,8,42,1,10,887,887,347
4798,,909,341,2,13,71,2,17,894,919,688
4799,,903,293,2,12,65,2,15,865,923,1058
4800,,957,935,4,36,188,5,44,796,1047,9324
4802,,984,1324,6,51,254,6,59,903,1061,9832
4804,,881,160,1,7,37,1,9,819,971,1730
4805,,909,340,2,13,70,2,17,826,990,10828
4806,,925,514,2,20,109,3,26,874,1028,3874
4807,,934,609,3,24,126,3,29,829,1076,11038
4808,,962,1002,4,39,203,5,47,902,1036,1113
4809,,941,717,3,28,153,4,36,885,998,1001
4810,,1007,1658,7,64,310,8,72,894,1193,21836
4811,,992,1438,6,55,278,7,64,839,1130,13142
4812,,945,767,3,30,160,4,37,859,1124,18804
4814,,986,1353,6,52,260,6,60,692,1164,46124
4815,,917,421,2,17,92,3,22,714,1072,21032
4816,,876,149,1,6,32,1,8,673,1073,9270
4817,,985,1332,6,51,255,6,59,681,1128,30413
4818,,990,1397,6,54,268,7,62,764,1100,28218
4819,,941,708,3,27,148,4,35,906,1054,2335
4820,,914,389,2,15,81,2,19,810,1086,10843
4821,,940,693,3,27,144,4,34,898,1031,1320
4822,,959,958,4,37,193,5,45,897,1020,791
4823,,977,1205,5,46,236,6,55,797,1073,925
4824,,960,966,4,37,195,5,45,797,1004,2769
4825,,964,1027,4,40,204,5,47,632,1199,19246
4828,,812,42,1,2,10,1,3,762,979,208
4829,,895,241,1,10,49,2,12,854,979,465
4830,,707,7,1,1,2,1,1,660,978,1714
4849,,878,155,1,6,36,1,9,836,923,1372
4850,,929,560,3,22,117,3,27,835,994,10918
4852,,955,902,4,35,181,5,42,885,985,3686
4854,,914,387,2,15,79,2,19,717,982,5481
4855,,939,681,3,26,141,4,33,892,968,766
4856,,904,298,2,12,68,2,16,855,965,706
4858,,934,611,3,24,127,3,30,849,985,1487
4859,,895,242,1,10,50,2,12,866,1063,463
4860,,896,245,1,10,51,2,12,759,999,11296
4861,,897,251,1,10,56,2,13,835,964,1453
4865,,960,975,4,38,197,5,46,841,1069,8119
4868,,955,906,4,35,182,5,42,798,1091,22063
4869,,945,759,3,29,159,4,37,781,1076,19010
4870,,967,1079,5,42,212,5,49,662,1158,71009
4871,,870,132,1,6,28,1,7,650,1035,10978
4872,,933,594,3,23,123,3,29,740,1039,3902
4873,,931,576,3,22,121,3,28,610,1031,6458
4874,,958,952,4,37,191,5,44,665,1113,5240
4875,,836,66,1,3,14,1,4,707,1006,8101
4876,,771,21,1,1,4,1,1,688,847,2827
4877,,995,1480,6,57,285,7,66,944,1047,5141
4878,,993,1455,6,56,279,7,65,872,1168,13486
4879,,1026,1870,8,72,343,8,79,904,1168,19447
4880,,914,392,2,15,83,2,20,741,1019,13295
4881,,969,1110,5,43,217,5,50,867,1026,4496
4882,,975,1191,5,46,232,6,54,895,1031,2718
4883,,930,561,3,22,118,3,28,767,1053,8428
4884,,1004,1592,7,61,308,8,71,987,1033,1870
4885,,959,963,4,37,194,5,45,862,1021,3803
4886,,917,417,2,16,90,3,21,812,978,846
4887,,884,171,1,7,41,1,10,796,933,2038
4888,,851,90,1,4,19,1,5,785,978,3097
4890,,845,78,1,3,17,1,4,803,964,1282
4891,,919,439,2,17,94,3,22,919,964,531
4892,,713,8,1,1,3,1,1,641,993,5614
4895,,859,103,1,4,24,1,6,685,1037,4453
5000,,1038,1994,8,76,276,9,82,961,1125,15115
5006,,1096,2402,10,92,326,10,97,1023,1167,6950
5007,,998,1526,6,59,225,7,67,907,1065,7084
5008,,942,732,3,28,107,4,32,800,1040,13681
5009,,967,1085,5,42,165,5,49,868,1056,5030
5010,,873,142,1,6,25,1,8,791,959,5853
5011,,990,1396,6,54,206,7,62,865,1081,11712
5012,,867,119,1,5,18,1,6,800,967,11170
5013,,876,150,1,6,27,1,9,810,982,9985
5014,,934,606,3,24,92,3,28,812,1010,11767
5015,,947,793,4,31,124,4,37,807,1040,5697
5016,,982,1269,5,49,192,6,57,830,1082,8851
5017,,860,105,1,4,15,1,5,726,1037,5025
5018,,997,1498,6,57,223,7,67,878,1052,5567
5019,,973,1160,5,45,177,6,53,684,1073,9122
5020,,1042,2020,8,77,279,9,83,980,1083,3112
5021,,1034,1947,8,75,273,9,82,948,1103,5787
5022,,1050,2092,8,80,293,9,87,865,1109,15743
5023,,925,506,2,20,77,3,23,688,1013,16572
5024,,1030,1902,8,73,268,8,80,963,1086,13846
5025,,1001,1544,6,59,227,7,68,917,1089,8256
5031,,998,1522,6,58,224,7,67,897,1051,9933
5032,,1009,1684,7,65,242,8,72,908,1111,12710
5033,,966,1068,5,41,161,5,48,919,1003,8373
5034,,1085,2345,9,90,318,10,95,1006,1145,10042
5035,,1025,1863,8,71,264,8,79,936,1073,6103
5037,,993,1452,6,56,217,7,65,900,1055,10786
5038,,986,1354,6,52,202,6,60,861,1041,15262
5039,,988,1375,6,53,204,7,61,830,1083,8851
5040,,1010,1698,7,65,243,8,73,904,1104,2504
5041,,1065,2216,9,85,306,10,91,964,1151,13391
5042,,981,1262,5,48,189,6,57,877,1117,10837
5043,,945,764,3,30,117,4,35,788,1063,18780
5044,,1046,2052,8,79,284,9,85,915,1116,10875
5045,,1044,2042,8,78,282,9,84,940,1117,15589
5046,,978,1217,5,47,182,6,55,645,1059,9086
5047,,966,1060,5,41,158,5,47,911,1114,8263
5048,,1018,1777,7,68,251,8,75,915,1103,14225
5049,,1053,2125,9,81,298,9,89,993,1111,9764
5050,,1071,2256,9,86,310,10,92,1042,1119,5602
5051,,1088,2361,9,90,320,10,95,969,1165,14074
5052,,1100,2425,10,93,329,10,98,1069,1139,6369
5061,,1107,2455,10,94,331,10,99,1057,1160,9695
5062,,1098,2413,10,92,327,10,98,1034,1165,14917
5063,,1076,2284,9,87,314,10,94,944,1149,12308
5064,,1107,2457,10,94,332,10,99,1003,1161,9855
5065,,1084,2338,9,89,316,10,94,938,1159,10202
5066,,1125,2528,10,97,335,10,100,1071,1171,11718
5067,,1069,2241,9,86,308,10,92,995,1147,10144
5068,,1063,2202,9,84,305,10,91,927,1114,12184
5069,,1085,2342,9,90,317,10,95,998,1150,8292
5070,,1013,1733,7,66,248,8,74,885,1123,14270
5072,,1046,2060,8,79,285,9,85,975,1147,12666
5073,,1018,1778,7,68,252,8,75,875,1139,15238
5074,,966,1066,5,41,160,5,48,870,1061,12943
5075,,1004,1605,7,62,231,7,69,812,1100,10630
5076,,1045,2051,8,78,283,9,84,999,1098,9173
5081,,1089,2367,10,91,321,10,96,1015,1181,9279
5082,,1049,2081,8,80,291,9,87,980,1119,14930
5083,,1021,1811,7,69,255,8,76,947,1095,7489
5084,,849,84,1,4,11,1,4,669,983,10057
5085,,975,1196,5,46,180,6,54,811,1107,19974
5086,,970,1120,5,43,173,6,52,804,1064,16141
5087,,987,1362,6,52,203,7,61,862,1049,11378
5088,,927,534,3,21,79,3,24,910,952,3296
5089,,1050,2101,8,80,294,9,88,993,1144,6586
5090,,978,1219,5,47,183,6,55,906,1057,7887
5091,,1024,1849,8,71,262,8,78,977,1079,7505
5092,,982,1276,5,49,193,6,58,907,1037,17569
5093,,950,829,4,32,130,4,39,827,987,9012
5094,,883,166,1,7,28,1,9,830,1028,900
5095,,996,1495,6,57,221,7,66,848,1084,20525
5096,,946,778,3,30,120,4,36,787,1107,13387
5097,,988,1379,6,53,205,7,61,923,1043,13565
5098,,935,620,3,24,93,3,28,809,1070,12321
5106,,829,60,1,3,9,1,3,829,829,201
5107,,890,212,1,9,35,2,11,691,1016,17097
5108,,851,88,1,4,12,1,4,717,952,40609
5109,,913,385,2,15,65,2,20,813,1099,20856
5110,,899,265,2,11,43,2,13,759,1038,8956
5112,,799,30,1,2,3,1,1,631,1029,19421
5113,,743,13,1,1,1,1,1,625,837,18890
5114,,906,315,2,12,48,2,15,695,1093,33959
5115,,889,201,1,8,33,1,10,747,970,10390
5116,,930,562,3,22,83,3,25,720,1051,9455
5117,,1022,1822,7,70,256,8,76,961,1049,2923
5118,,969,1112,5,43,169,6,51,795,1103,18411
5120,,953,880,4,34,135,5,41,892,1045,1977
5121,,947,803,4,31,126,4,38,916,967,1673
5125,,1027,1883,8,72,266,8,79,944,1111,19218
5126,,1005,1620,7,62,234,7,70,962,1064,7180
5127,,1012,1718,7,66,247,8,74,924,1084,7763
5131,,1068,2234,9,85,307,10,92,1055,1085,980
5132,,1082,2327,9,89,315,10,94,1039,1122,426
5133,,1074,2277,9,87,313,10,93,1074,1074,390
5134,,1050,2091,8,80,292,9,87,1050,1050,431
5136,,1056,2144,9,82,299,9,89,1056,1056,532
5137,,1090,2369,10,91,322,10,96,1088,1104,579
5138,,1104,2443,10,93,330,10,98,1104,1104,294
5139,,1060,2173,9,83,302,9,90,1060,1060,236
5140,,1109,2465,10,94,333,10,99,1109,1109,421
5141,,1093,2386,10,91,324,10,97,1085,1101,681
5142,,1048,2072,8,79,288,9,86,1042,1054,575
5144,,1094,2388,10,91,325,10,97,1094,1094,414
5150,,1099,2421,10,93,328,10,98,1088,1147,61
5151,,1092,2384,10,91,323,10,96,1092,1092,369
5152,,1120,2511,10,96,334,10,100,1088,1140,6132
5153,,1072,2263,9,87,311,10,93,991,1130,6428
5154,,1127,2533,10,97,336,10,100,1110,1146,3361
5155,,1073,2267,9,87,312,10,93,1001,1118,3824
5156,,1087,2356,9,90,319,10,95,1069,1111,951
5157,,1062,2196,9,84,303,9,90,1013,1126,2914
5158,,1030,1912,8,73,269,8,80,953,1117,24735
5159,,1034,1951,8,75,274,9,82,917,1130,32934
5161,,954,891,4,34,137,5,41,888,1005,10154
5162,,933,593,3,23,90,3,27,769,1080,34294
5163,,891,218,1,9,37,2,11,691,1095,14125
5164,,801,33,1,2,4,1,2,700,895,5289
5165,,900,275,2,11,45,2,14,843,962,5383
5166,,870,129,1,5,22,1,7,833,950,1879
5167,,968,1094,5,42,166,5,50,889,1040,5705
5168,,912,372,2,15,60,2,18,711,1068,5499
5169,,962,991,4,38,153,5,46,861,1068,17084
5170,,982,1280,5,49,195,6,58,973,991,1152
5171,,1023,1837,7,70,260,8,78,974,1077,5923
5172,,1032,1931,8,74,271,9,81,988,1059,3932
5173,,935,626,3,24,94,3,28,837,1039,12769
5174,,956,922,4,36,142,5,43,918,1060,2917
5201,,1024,1847,8,71,261,8,78,959,1073,1944
5202,,969,1115,5,43,170,6,51,927,1010,868
5203,,944,745,3,29,111,4,33,877,1012,1268
5204,,943,734,3,28,108,4,33,893,988,2824
5210,,985,1342,6,52,200,6,60,961,1029,1718
5211,,937,651,3,25,98,3,30,810,1036,15276
5212,,955,904,4,35,138,5,41,926,1046,2102
5213,,992,1437,6,55,214,7,64,938,1021,1156
5214,,924,502,2,20,76,3,23,835,1018,8397
5220,,937,653,3,25,99,3,30,937,937,149
5221,,910,347,2,14,53,2,16,899,969,288
5222,,943,740,3,29,110,4,33,935,950,629
5223,,952,855,4,33,134,4,40,833,1023,3642
5231,,1051,2113,9,81,295,9,88,1018,1078,1227
5232,,1063,2200,9,84,304,10,91,1039,1073,421
5233,,1027,1877,8,72,265,8,79,990,1071,1474
5234,,1031,1915,8,73,270,9,81,1005,1086,1298
5235,,970,1122,5,43,174,6,52,890,1079,2475
5236,,945,756,3,29,115,4,35,945,945,302
5237,,946,787,3,30,121,4,36,924,983,357
5238,,890,210,1,8,34,2,11,816,983,4084
5240,,1052,2119,9,81,297,9,89,1049,1055,485
5241,,974,1170,5,45,178,6,53,950,1034,2527
5242,,1046,2063,8,79,287,9,86,999,1090,1621
5243,,1070,2248,9,86,309,10,92,1053,1091,832
5244,,1022,1828,7,70,258,8,77,940,1078,4263
5245,,1052,2115,9,81,296,9,88,991,1090,3084
5250,,1048,2076,8,79,289,9,86,1007,1101,3523
5251,,991,1422,6,55,209,7,63,853,1112,14623
5252,,1005,1608,7,62,232,7,69,955,1066,6516
5253,,868,124,1,5,20,1,6,611,1013,18489
5254,,956,914,4,35,140,5,42,886,1054,2387
5255,,980,1243,5,48,185,6,55,847,1068,9248
5256,,912,368,2,14,57,2,17,865,1013,1355
5259,,933,597,3,23,91,3,28,681,1004,1110
5260,,848,82,1,4,10,1,3,793,896,1755
5261,,1004,1593,7,61,230,7,69,987,1052,368
5262,,1023,1836,7,70,259,8,77,1011,1045,412
5263,,1037,1985,8,76,275,9,82,1037,1037,137
5264,,912,364,2,14,56,2,17,825,1044,1250
5265,,950,821,4,32,129,4,39,832,1052,431
5266,,1012,1717,7,66,246,8,73,965,1052,624
5267,,992,1435,6,55,212,7,63,901,1063,1959
5268,,943,738,3,29,109,4,33,868,1055,3544
5269,,960,967,4,37,149,5,45,954,1025,258
5270,,1029,1897,8,73,267,8,80,1010,1055,608
5271,,944,752,3,29,114,4,34,828,1083,7428
5272,,1011,1703,7,65,244,8,73,885,1083,794
5273,,1046,2061,8,79,286,9,85,1044,1047,111
5275,,949,818,4,32,128,4,38,888,1044,2412
5276,,981,1254,5,48,187,6,56,928,1068,1181
5277,,923,487,2,19,75,3,23,800,1039,2914
5278,,913,379,2,15,62,2,19,817,1039,521
5279,,884,174,1,7,30,1,9,791,1046,527
5280,,908,325,2,13,51,2,16,722,1046,7370
5290,,898,256,1,10,42,2,13,602,1118,25512
5291,,992,1436,6,55,213,7,64,874,1055,9171
5301,,982,1277,5,49,194,6,58,968,992,574
5302,,981,1265,5,49,190,6,57,955,1052,852
5303,,1007,1651,7,63,236,8,71,1007,1007,211
5304,,942,728,3,28,106,4,32,908,1007,770
5306,,985,1340,6,51,199,6,60,985,985,76
5307,,928,548,3,21,81,3,25,887,1010,573
5308,,969,1111,5,43,168,5,50,942,1010,145
5309,,985,1333,6,51,198,6,59,942,1010,157
