Dataset: SEIFA 2016 by Postal Area Code,,,,,,,,,,,
Index Type,,Index of Relative Socio-economic Advantage and Disadvantage,,,,,,,,,
Time,,2016,,,,,,,,,
Measure,,Score,RANK WITHIN AUSTRALIA,,,RANK WITHIN STATE AND TERRITORY,,,Minimum score for SA1s in area,Maximum score for SA1s in area,Usual resident population
,,,  Rank within Australia,  Rank within Australia - Decile,  Rank within Australia - Percentile,  Rank within State or Territory,  Rank within State or Territory - Decile,  Rank within State or Territory - Percentile,,,
Postal Area Code,,,,,,,,,,,
2343,,923,479,2,19,123,3,21,603,1043,4968
2344,,1013,1730,7,66,386,7,63,952,1051,756
2345,,962,997,4,38,252,5,41,875,1037,721
2346,,886,181,1,7,38,1,7,814,1037,3149
2347,,899,260,1,10,62,2,11,779,1008,1931
2350,,990,1401,6,54,325,6,53,751,1119,25339
2352,,948,810,4,31,206,4,34,901,1017,2716
2353,,942,730,3,28,190,4,31,912,957,1126
2354,,973,1155,5,44,279,5,46,883,1095,3576
2355,,927,529,3,21,133,3,22,836,980,663
2356,,829,57,1,3,11,1,2,829,829,162
2357,,910,354,2,14,93,2,16,818,1045,4159
2358,,947,791,4,31,202,4,33,895,1045,3767
2359,,894,238,1,10,56,1,10,825,999,736
2360,,905,304,2,12,73,2,12,639,1053,14529
2361,,869,127,1,5,27,1,5,768,969,909
2365,,946,773,3,30,198,4,33,861,1059,3721
2369,,833,64,1,3,12,1,2,747,924,927
2370,,910,346,2,14,90,2,15,823,1056,7687
2371,,894,234,1,9,55,1,9,833,1051,1155
2372,,910,349,2,14,91,2,15,810,1032,4742
2379,,1017,1762,7,67,388,7,64,989,1049,313
2380,,943,739,3,29,193,4,32,789,1088,10392
2381,,929,553,3,22,141,3,23,872,1011,1193
2382,,909,337,2,13,87,2,15,825,1058,1319
2386,,992,1431,6,55,328,6,54,968,1068,360
2387,,993,1454,6,56,333,6,55,975,1068,201
2388,,920,448,2,18,114,2,19,795,1068,2674
2390,,950,824,4,32,210,4,35,725,1102,8757
2395,,854,93,1,4,18,1,3,764,1011,671
2396,,873,140,1,6,30,1,5,831,972,857
2397,,982,1274,5,49,304,5,50,970,1068,377
2398,,1002,1567,6,60,358,6,59,1002,1002,236
2399,,959,965,4,37,244,4,40,887,1046,597
2400,,925,517,2,20,129,3,21,608,1099,10084
2401,,997,1501,6,58,341,6,56,997,1002,321
2402,,908,324,2,13,82,2,14,832,1021,1792
2403,,922,471,2,18,120,2,20,802,1043,718
2404,,910,350,2,14,92,2,15,849,1043,1838
2405,,1007,1647,7,63,374,7,61,1007,1007,514
2406,,938,678,3,26,174,3,29,867,1028,823
2408,,1022,1821,7,70,398,7,65,1015,1024,376
